,slope_lengths,slope_percents,ls
0,3,0.2,0.05
1,6,0.2,0.05
2,9,0.2,0.05
3,12,0.2,0.05
4,15,0.2,0.05
5,25,0.2,0.05
6,50,0.2,0.05
7,75,0.2,0.05
8,100,0.2,0.05
9,150,0.2,0.05
10,200,0.2,0.05
11,250,0.2,0.05
12,300,0.2,0.05
13,400,0.2,0.05
14,600,0.2,0.05
15,800,0.2,0.06
16,1000,0.2,0.06
17,3,0.5,0.07
18,6,0.5,0.07
19,9,0.5,0.07
20,12,0.5,0.07
21,15,0.5,0.07
22,25,0.5,0.07
23,50,0.5,0.08
24,75,0.5,0.08
25,100,0.5,0.08
26,150,0.5,0.09
27,200,0.5,0.09
28,250,0.5,0.09
29,300,0.5,0.09
30,400,0.5,0.09
31,600,0.5,0.09
32,800,0.5,0.1
33,1000,0.5,0.1
34,3,1.0,0.11
35,6,1.0,0.11
36,9,1.0,0.11
37,12,1.0,0.11
38,15,1.0,0.12
39,25,1.0,0.13
40,50,1.0,0.14
41,75,1.0,0.14
42,100,1.0,0.16
43,150,1.0,0.17
44,200,1.0,0.18
45,250,1.0,0.18
46,300,1.0,0.19
47,400,1.0,0.2
48,600,1.0,0.2
49,800,1.0,0.2
50,1000,1.0,0.2
51,3,2.0,0.17
52,6,2.0,0.17
53,9,2.0,0.17
54,12,2.0,0.17
55,15,2.0,0.19
56,25,2.0,0.22
57,50,2.0,0.25
58,75,2.0,0.27
59,100,2.0,0.29
60,150,2.0,0.31
61,200,2.0,0.33
62,250,2.0,0.33
63,300,2.0,0.35
64,400,2.0,0.37
65,600,2.0,0.41
66,800,2.0,0.44
67,1000,2.0,0.47
68,3,3.0,0.22
69,6,3.0,0.22
70,9,3.0,0.22
71,12,3.0,0.22
72,15,3.0,0.25
73,25,3.0,0.32
74,50,3.0,0.4
75,75,3.0,0.47
76,100,3.0,0.53
77,150,3.0,0.58
78,200,3.0,0.62
79,250,3.0,0.62
80,300,3.0,0.69
81,400,3.0,0.74
82,600,3.0,0.86
83,800,3.0,0.99
84,1000,3.0,1.1
85,3,4.0,0.26
86,6,4.0,0.26
87,9,4.0,0.26
88,12,4.0,0.26
89,15,4.0,0.31
90,25,4.0,0.4
91,50,4.0,0.49
92,75,4.0,0.58
93,100,4.0,0.65
94,150,4.0,0.72
95,200,4.0,0.77
96,250,4.0,0.77
97,300,4.0,0.8
98,400,4.0,0.86
99,600,4.0,0.99
100,800,4.0,1.1
101,1000,4.0,1.19
102,3,5.0,0.3
103,6,5.0,0.3
104,9,5.0,0.3
105,12,5.0,0.3
106,15,5.0,0.37
107,25,5.0,0.49
108,50,5.0,0.58
109,75,5.0,0.65
110,100,5.0,0.72
111,150,5.0,0.85
112,200,5.0,0.93
113,250,5.0,0.93
114,300,5.0,1.01
115,400,5.0,1.13
116,600,5.0,1.33
117,800,5.0,1.49
118,1000,5.0,1.63
119,3,6.0,0.34
120,6,6.0,0.34
121,9,6.0,0.34
122,12,6.0,0.34
123,15,6.0,0.43
124,25,6.0,0.58
125,50,6.0,0.74
126,75,6.0,0.91
127,100,6.0,1.04
128,150,6.0,1.16
129,200,6.0,1.25
130,250,6.0,1.25
131,300,6.0,1.31
132,400,6.0,1.42
