"zip","type","decommissioned","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","world_region","country","latitude","longitude","irs_estimated_population"
37010,"STANDARD",0,"Adams","","","TN","Montgomery County","America/Chicago","270, 364, 615, 629, 931",NA,"US",36.58,-87.06,5680
37011,"PO BOX",0,"Antioch","","","TN","Davidson County","America/Chicago","615",NA,"US",36.04,-86.64,1107
37012,"STANDARD",0,"Alexandria","","","TN","DeKalb County","America/Chicago","615, 629",NA,"US",36.07,-86.03,2110
37013,"STANDARD",0,"Antioch","Cane Ridge","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.04,-86.64,85580
37014,"STANDARD",0,"Arrington","","Triune","TN","Williamson County","America/Chicago","615, 629",NA,"US",35.87,-86.63,2800
37015,"STANDARD",0,"Ashland City","","","TN","Cheatham County","America/Chicago","615, 629, 931",NA,"US",36.27,-87.05,16950
37016,"STANDARD",0,"Auburntown","","","TN","Cannon County","America/Chicago","615, 629",NA,"US",35.94,-86.09,830
37018,"STANDARD",0,"Beechgrove","","","TN","Coffee County","America/Chicago","615, 629, 931",NA,"US",35.64,-86.2,1970
37019,"STANDARD",0,"Belfast","","","TN","Marshall County","America/Chicago","931",NA,"US",35.4,-86.71,850
37020,"STANDARD",0,"Bell Buckle","","","TN","Bedford County","America/Chicago","615, 629, 931",NA,"US",35.59,-86.35,5100
37022,"STANDARD",0,"Bethpage","Rock Bridge","","TN","Sumner County","America/Chicago","615, 629",NA,"US",36.5,-86.3,5750
37023,"STANDARD",0,"Big Rock","","","TN","Stewart County","America/Chicago","931",NA,"US",36.59,-87.78,1550
37024,"PO BOX",0,"Brentwood","","","TN","Williamson County","America/Chicago","615",NA,"US",35.99,-86.78,888
37025,"STANDARD",0,"Bon Aqua","","","TN","Hickman County","America/Chicago","615, 629, 931",NA,"US",35.94,-87.34,5980
37026,"STANDARD",0,"Bradyville","","","TN","Cannon County","America/Chicago","615, 629, 931",NA,"US",35.69,-86.1,2130
37027,"STANDARD",0,"Brentwood","","Forest Hills","TN","Williamson County","America/Chicago","615, 629",NA,"US",35.99,-86.78,60810
37028,"STANDARD",0,"Bumpus Mills","","","TN","Stewart County","America/Chicago","270, 364, 931",NA,"US",36.62,-87.85,580
37029,"STANDARD",0,"Burns","","","TN","Dickson County","America/Chicago","615, 629",NA,"US",36.05,-87.31,6340
37030,"STANDARD",0,"Carthage","Defeated, S Carthage, So Carthage, South Carthage","Mc Clures Bend","TN","Smith County","America/Chicago","615, 629, 931",NA,"US",36.25,-85.94,6310
37031,"STANDARD",0,"Castalian Springs","Castalin Spgs","Castalian Spg","TN","Sumner County","America/Chicago","615, 629",NA,"US",36.38,-86.31,4160
37032,"STANDARD",0,"Cedar Hill","","","TN","Robertson County","America/Chicago","615, 629, 931",NA,"US",36.55,-87,4540
37033,"STANDARD",0,"Centerville","Pleasantville","Aetna, Coble, Fairfield, Grinders, Shipps Bend","TN","Hickman County","America/Chicago","931",NA,"US",35.79,-87.44,6410
37034,"STANDARD",0,"Chapel Hill","","","TN","Marshall County","America/Chicago","615, 629, 931",NA,"US",35.62,-86.69,8150
37035,"STANDARD",0,"Chapmansboro","","","TN","Cheatham County","America/Chicago","615, 629, 931",NA,"US",36.37,-87.11,3510
37036,"STANDARD",0,"Charlotte","","","TN","Dickson County","America/Chicago","615, 629, 931",NA,"US",36.18,-87.34,5740
37037,"STANDARD",0,"Christiana","","","TN","Rutherford County","America/Chicago","615, 629, 931",NA,"US",35.7,-86.34,9250
37040,"STANDARD",0,"Clarksville","","","TN","Montgomery County","America/Chicago","270, 364, 931",NA,"US",36.56,-87.34,52100
37041,"PO BOX",0,"Clarksville","","","TN","Montgomery County","America/Chicago","931",NA,"US",36.56,-87.34,439
37042,"STANDARD",0,"Clarksville","","Sango","TN","Montgomery County","America/Chicago","270, 364, 931",NA,"US",36.57,-87.42,78080
37043,"STANDARD",0,"Clarksville","","Fredonia, Hickory Point, Hilldale","TN","Montgomery County","America/Chicago","270, 364, 615, 629, 931",NA,"US",36.49,-87.24,51970
37044,"UNIQUE",0,"Clarksville","","Austin Peay St Univ","TN","Montgomery County","America/Chicago","931, 615",NA,"US",36.56,-87.34,45
37046,"STANDARD",0,"College Grove","","Allisona, Bethesda","TN","Williamson County","America/Chicago","615, 629, 931",NA,"US",35.77,-86.74,6690
37047,"STANDARD",0,"Cornersville","","","TN","Marshall County","America/Chicago","931",NA,"US",35.35,-86.84,2290
37048,"STANDARD",0,"Cottontown","Walnut Grove","","TN","Sumner County","America/Chicago","615, 629",NA,"US",36.48,-86.59,6260
37049,"STANDARD",0,"Cross Plains","","","TN","Robertson County","America/Chicago","615, 629",NA,"US",36.54,-86.68,3610
37050,"STANDARD",0,"Cumberland City","Cumberlnd Cty","","TN","Stewart County","America/Chicago","931",NA,"US",36.38,-87.64,1510
37051,"STANDARD",0,"Cumberland Furnace","Cmbrlnd Frnce, Slayden","","TN","Dickson County","America/Chicago","615, 629, 931",NA,"US",36.3,-87.4,3510
37052,"STANDARD",0,"Cunningham","","","TN","Montgomery County","America/Chicago","615, 629, 931",NA,"US",36.37,-87.43,2620
37055,"STANDARD",0,"Dickson","","","TN","Dickson County","America/Chicago","615, 629, 931",NA,"US",36.07,-87.37,25330
37056,"PO BOX",0,"Dickson","","","TN","Dickson County","America/Chicago","615",NA,"US",36.07,-87.37,898
37057,"STANDARD",0,"Dixon Springs","","","TN","Macon County","America/Chicago","615, 629",NA,"US",36.42,-86.03,870
37058,"STANDARD",0,"Dover","","Fort Donelson National Milit","TN","Stewart County","America/Chicago","731, 931",NA,"US",36.48,-87.84,6230
37059,"STANDARD",0,"Dowelltown","","","TN","DeKalb County","America/Chicago","615, 629",NA,"US",36.01,-85.94,1400
37060,"STANDARD",0,"Eagleville","","","TN","Rutherford County","America/Chicago","615, 629, 931",NA,"US",35.74,-86.65,2950
37061,"STANDARD",0,"Erin","","","TN","Houston County","America/Chicago","931",NA,"US",36.31,-87.7,4230
37062,"STANDARD",0,"Fairview","","","TN","Williamson County","America/Chicago","615, 629, 931",NA,"US",35.97,-87.12,12090
37063,"PO BOX",0,"Fosterville","","","TN","Rutherford County","America/Chicago","615",NA,"US",35.65,-86.4,0
37064,"STANDARD",0,"Franklin","","Kingfield, Peytonsville, Rudderville","TN","Williamson County","America/Chicago","615, 629, 931",NA,"US",35.88,-86.95,60020
37065,"PO BOX",0,"Franklin","","","TN","Williamson County","America/Chicago","615",NA,"US",35.92,-86.84,625
37066,"STANDARD",0,"Gallatin","","","TN","Sumner County","America/Chicago","615, 629",NA,"US",36.37,-86.45,55600
37067,"STANDARD",0,"Franklin","","","TN","Williamson County","America/Chicago","615, 629",NA,"US",35.92,-86.84,29830
37068,"PO BOX",0,"Franklin","","","TN","Williamson County","America/Chicago","615",NA,"US",35.92,-86.84,922
37069,"STANDARD",0,"Franklin","","","TN","Williamson County","America/Chicago","615, 629",NA,"US",35.99,-86.9,20240
37070,"PO BOX",0,"Goodlettsville","Goodlettsvlle","Goodlettsvl, Goodlettsvle","TN","Davidson County","America/Chicago","615",NA,"US",36.33,-86.7,794
37071,"PO BOX",0,"Gladeville","","","TN","Wilson County","America/Chicago","615",NA,"US",36.08,-86.4,113
37072,"STANDARD",0,"Goodlettsville","Goodlettsvlle","Millersville","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.33,-86.7,28970
37073,"STANDARD",0,"Greenbrier","","","TN","Robertson County","America/Chicago","615, 629",NA,"US",36.42,-86.8,13930
37074,"STANDARD",0,"Hartsville","","","TN","Trousdale County","America/Chicago","615, 629",NA,"US",36.39,-86.15,7390
37075,"STANDARD",0,"Hendersonville","Hendersonvlle","","TN","Sumner County","America/Chicago","615, 629",NA,"US",36.29,-86.6,66440
37076,"STANDARD",0,"Hermitage","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.13,-86.58,34530
37077,"PO BOX",0,"Hendersonville","Hendersonvlle","","TN","Sumner County","America/Chicago","615",NA,"US",36.29,-86.6,875
37078,"STANDARD",0,"Hurricane Mills","Hurricne Mlls","","TN","Humphreys County","America/Chicago","931",NA,"US",35.94,-87.76,550
37079,"STANDARD",0,"Indian Mound","","","TN","Stewart County","America/Chicago","931",NA,"US",36.47,-87.66,2450
37080,"STANDARD",0,"Joelton","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.33,-86.91,6700
37082,"STANDARD",0,"Kingston Springs","Kingston Spgs","","TN","Cheatham County","America/Chicago","615, 629",NA,"US",36.09,-87.1,5760
37083,"STANDARD",0,"Lafayette","","La Fayette","TN","Macon County","America/Chicago","270, 364, 615, 629",NA,"US",36.52,-86.03,13580
37085,"STANDARD",0,"Lascassas","","","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.94,-86.29,5270
37086,"STANDARD",0,"La Vergne","","","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.99,-86.57,34950
37087,"STANDARD",0,"Lebanon","","","TN","Wilson County","America/Chicago","615, 629",NA,"US",36.2,-86.32,47980
37088,"PO BOX",0,"Lebanon","","","TN","Wilson County","America/Chicago","615",NA,"US",36.2,-86.32,1385
37089,"UNIQUE",0,"La Vergne","","Ingram Entertainment Group","TN","Rutherford County","America/Chicago","615",NA,"US",35.99,-86.57,0
37090,"STANDARD",0,"Lebanon","","","TN","Wilson County","America/Chicago","615, 629",NA,"US",36.11,-86.3,18490
37091,"STANDARD",0,"Lewisburg","","","TN","Marshall County","America/Chicago","931",NA,"US",35.44,-86.78,19900
37095,"STANDARD",0,"Liberty","Gassaway","","TN","DeKalb County","America/Chicago","615, 629, 931",NA,"US",36,-85.98,1650
37096,"STANDARD",0,"Linden","Flatwoods","","TN","Perry County","America/Chicago","731, 931",NA,"US",35.61,-87.84,4790
37097,"STANDARD",0,"Lobelville","","","TN","Perry County","America/Chicago","731, 931",NA,"US",35.75,-87.79,1750
37098,"STANDARD",0,"Lyles","Wrigley","","TN","Hickman County","America/Chicago","931",NA,"US",35.87,-87.32,4730
37101,"STANDARD",0,"Mc Ewen","","Mcewen","TN","Humphreys County","America/Chicago","615, 629, 931",NA,"US",36.1,-87.63,5880
37110,"STANDARD",0,"Mcminnville","Centertown, Mc Minnville","","TN","Warren County","America/Chicago","423, 615, 629, 931",NA,"US",35.68,-85.77,27580
37111,"PO BOX",0,"Mcminnville","Mc Minnville","Mc Minnvl, Mc Minnvle","TN","Warren County","America/Chicago","931",NA,"US",35.68,-85.77,995
37115,"STANDARD",0,"Madison","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.25,-86.69,31160
37116,"PO BOX",0,"Madison","","","TN","Davidson County","America/Chicago","615",NA,"US",36.25,-86.69,785
37118,"STANDARD",0,"Milton","","","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.92,-86.17,1390
37119,"PO BOX",0,"Mitchellville","","","TN","Sumner County","America/Chicago","615",NA,"US",36.63,-86.53,25
37121,"PO BOX",0,"Mount Juliet","","Mt Juliet","TN","Wilson County","America/Chicago","615",NA,"US",36.2,-86.52,652
37122,"STANDARD",0,"Mount Juliet","Mt Juliet","","TN","Wilson County","America/Chicago","615, 629",NA,"US",36.2,-86.52,63390
37127,"STANDARD",0,"Murfreesboro","","Mboro, Murfreesbr","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.78,-86.33,18520
37128,"STANDARD",0,"Murfreesboro","","Mboro, Murfreesbr","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.78,-86.49,67950
37129,"STANDARD",0,"Murfreesboro","","Mboro, Murfreesbr","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.93,-86.44,57520
37130,"STANDARD",0,"Murfreesboro","","Mboro, Murfreesbr","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.85,-86.39,47230
37131,"UNIQUE",0,"Murfreesboro","","Mboro, Murfreesbr, State Farm Ins Co","TN","Rutherford County","America/Chicago","615",NA,"US",35.85,-86.39,0
37132,"UNIQUE",0,"Murfreesboro","","Mboro, Middle Tenn State Univ, Murfreesbr","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.85,-86.36,195
37133,"PO BOX",0,"Murfreesboro","","Mboro, Murfreesbr","TN","Rutherford County","America/Chicago","615",NA,"US",35.85,-86.39,1223
37134,"STANDARD",0,"New Johnsonville","Denver, New Johsonvle","","TN","Humphreys County","America/Chicago","731, 931",NA,"US",36.01,-87.95,2840
37135,"STANDARD",0,"Nolensville","","","TN","Williamson County","America/Chicago","615, 629",NA,"US",35.94,-86.64,22490
37136,"PO BOX",0,"Norene","","","TN","Wilson County","America/Chicago","615",NA,"US",36.11,-86.29,0
37137,"STANDARD",0,"Nunnelly","","","TN","Hickman County","America/Chicago","931",NA,"US",35.89,-87.52,2480
37138,"STANDARD",0,"Old Hickory","Lakewood","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.22,-86.61,21300
37140,"STANDARD",0,"Only","","","TN","Hickman County","America/Chicago","931",NA,"US",35.87,-87.65,390
37141,"STANDARD",0,"Orlinda","","","TN","Robertson County","America/Chicago","270, 364, 615, 629",NA,"US",36.6,-86.67,1200
37142,"STANDARD",0,"Palmyra","","","TN","Montgomery County","America/Chicago","931",NA,"US",36.41,-87.5,1850
37143,"STANDARD",0,"Pegram","","","TN","Cheatham County","America/Chicago","615, 629",NA,"US",36.1,-87.05,3710
37144,"STANDARD",0,"Petersburg","","","TN","Lincoln County","America/Chicago","931",NA,"US",35.31,-86.63,2870
37145,"STANDARD",0,"Pleasant Shade","Pleasant Shde","","TN","Smith County","America/Chicago","615, 629, 931",NA,"US",36.38,-85.91,2210
37146,"STANDARD",0,"Pleasant View","","","TN","Cheatham County","America/Chicago","615, 629",NA,"US",36.37,-87.04,7730
37148,"STANDARD",0,"Portland","","","TN","Sumner County","America/Chicago","270, 364, 615, 629",NA,"US",36.58,-86.51,23140
37149,"STANDARD",0,"Readyville","","","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.8,-86.19,2380
37150,"STANDARD",0,"Red Boiling Springs","Red Blng Spgs","","TN","Macon County","America/Chicago","270, 364, 615, 629, 931",NA,"US",36.53,-85.85,3910
37151,"STANDARD",0,"Riddleton","","","TN","Smith County","America/Chicago","615, 629",NA,"US",36.34,-86.03,490
37152,"PO BOX",0,"Ridgetop","","","TN","Robertson County","America/Chicago","615",NA,"US",36.39,-86.77,433
37153,"STANDARD",0,"Rockvale","","","TN","Rutherford County","America/Chicago","615, 629, 931",NA,"US",35.75,-86.55,5570
37160,"STANDARD",0,"Shelbyville","Royal","","TN","Bedford County","America/Chicago","615, 629, 931",NA,"US",35.49,-86.44,31260
37161,"UNIQUE",0,"Shelbyville","","National Pen Company","TN","Bedford County","America/Chicago","931",NA,"US",35.49,-86.44,0
37162,"PO BOX",0,"Shelbyville","","","TN","Bedford County","America/Chicago","931",NA,"US",35.49,-86.44,895
37165,"PO BOX",0,"Slayden","","","TN","Dickson County","America/Chicago","615, 629",NA,"US",36.29,-87.48,131
37166,"STANDARD",0,"Smithville","","","TN","DeKalb County","America/Chicago","615, 629, 931",NA,"US",35.95,-85.82,12720
37167,"STANDARD",0,"Smyrna","","","TN","Rutherford County","America/Chicago","615, 629",NA,"US",35.98,-86.51,59050
37171,"STANDARD",0,"Southside","","","TN","Montgomery County","America/Chicago","615, 629, 931",NA,"US",36.36,-87.3,1100
37172,"STANDARD",0,"Springfield","Coopertown","","TN","Robertson County","America/Chicago","270, 364, 615, 629",NA,"US",36.49,-86.87,28890
37174,"STANDARD",0,"Spring Hill","","","TN","Williamson County","America/Chicago","615, 629, 931",NA,"US",35.74,-86.92,49180
37175,"STANDARD",0,"Stewart","","","TN","Houston County","America/Chicago","731, 931",NA,"US",36.32,-87.89,830
37178,"STANDARD",0,"Tennessee Ridge","Tennessee Rdg","Tenn Ridge, Tn Ridge","TN","Houston County","America/Chicago","931",NA,"US",36.31,-87.76,1990
37179,"STANDARD",0,"Thompsons Station","Thompsons Stn","","TN","Williamson County","America/Chicago","615, 629, 931",NA,"US",35.82,-87.01,17460
37180,"STANDARD",0,"Unionville","","","TN","Bedford County","America/Chicago","615, 629, 931",NA,"US",35.62,-86.59,3130
37181,"STANDARD",0,"Vanleer","","","TN","Dickson County","America/Chicago","615, 629, 931",NA,"US",36.23,-87.44,1330
37183,"STANDARD",0,"Wartrace","","","TN","Bedford County","America/Chicago","931",NA,"US",35.52,-86.33,3160
37184,"STANDARD",0,"Watertown","","","TN","Wilson County","America/Chicago","615, 629",NA,"US",36.09,-86.13,5830
37185,"STANDARD",0,"Waverly","","","TN","Humphreys County","America/Chicago","731, 931",NA,"US",36.09,-87.78,7340
37186,"STANDARD",0,"Westmoreland","","","TN","Sumner County","America/Chicago","270, 364, 615, 629",NA,"US",36.56,-86.24,8750
37187,"STANDARD",0,"White Bluff","","","TN","Dickson County","America/Chicago","615, 629",NA,"US",36.1,-87.21,6800
37188,"STANDARD",0,"White House","","","TN","Robertson County","America/Chicago","615, 629",NA,"US",36.46,-86.66,16650
37189,"STANDARD",0,"Whites Creek","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.28,-86.83,3410
37190,"STANDARD",0,"Woodbury","","","TN","Cannon County","America/Chicago","615, 629, 931",NA,"US",35.82,-86.07,7660
37191,"STANDARD",0,"Woodlawn","","","TN","Montgomery County","America/Chicago","931",NA,"US",36.5,-87.54,3880
37201,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.17,-86.78,1290
37202,"PO BOX",0,"Nashville","","","TN","Davidson County","America/Chicago","615",NA,"US",36.17,-86.78,567
37203,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.15,-86.79,15490
37204,"STANDARD",0,"Nashville","Berry Hill, Melrose","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.11,-86.77,12400
37205,"STANDARD",0,"Nashville","Belle Meade","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.11,-86.87,22340
37206,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.18,-86.73,23610
37207,"STANDARD",0,"Nashville","","Northeast","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.23,-86.78,34470
37208,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.18,-86.81,14290
37209,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.19,-86.95,32620
37210,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.15,-86.73,12470
37211,"STANDARD",0,"Nashville","","Woodbine","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.07,-86.72,62950
37212,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.13,-86.8,10580
37213,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.17,-86.77,116
37214,"STANDARD",0,"Nashville","","Donelson","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.16,-86.67,27070
37215,"STANDARD",0,"Nashville","Forest Hills","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.08,-86.83,21590
37216,"STANDARD",0,"Nashville","","Jere Baxter","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.22,-86.73,16020
37217,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.11,-86.66,26140
37218,"STANDARD",0,"Nashville","","","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.16,-86.89,12300
37219,"STANDARD",0,"Nashville","","Nashvle","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.17,-86.78,1600
37220,"STANDARD",0,"Nashville","Oak Hill","Forest Hills","TN","Davidson County","America/Chicago","615, 629",NA,"US",36.07,-86.79,6620
