County,SpeciesName,CommonName,CarbonStoragelb,GrossCarbonSequestrationLBYR,AvoidedRunoffGYR,PollutionRemovalOZYR,OxygenProductionLBYR,TotalAnnualBenefitsDYR
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Ilex cookii,Te,3,0.9,0.6,0.4,2.4,0.11
Anderson,Eucalyptus pachyphylla,Redbud Mallee,1.1,0.5,0.6,0.4,1.4,0.08
Anderson,Eucalyptus pachyphylla,Redbud Mallee,1.1,0.5,0.6,0.4,1.4,0.08
Anderson,Amelanchier,Serviceberry,0.3,0.4,0.3,0.2,1.1,0.05
Anderson,Amelanchier,Serviceberry,0.3,0.4,0.3,0.2,1.1,0.05
Anderson,Amelanchier,Serviceberry,0.3,0.4,0.3,0.2,1.1,0.05
Anderson,Amelanchier,Serviceberry,0.3,0.4,0.3,0.2,1.1,0.05
Anderson,Chionanthus virginicus,Fringe tree,0.7,0.5,0.6,0.4,1.3,0.08
Anderson,Crataegus,Hawthorn,0.2,0.3,0.4,0.2,0.9,0.05
Anderson,Diospyros virginiana,Common persimmon,0.1,0.1,0.4,0.2,0.3,0.03
Anderson,Asimina triloba,Pawpaw,0.6,0.3,0.6,0.4,0.9,0.06
Anderson,Aesculus pavia,Red buckeye,0.4,0.4,0.4,0.3,1.1,0.06
Anderson,Prunus serotina,Black cherry,0.3,0.6,0.4,0.3,1.5,0.07
Blount,Ilex cookii,Te,1,0.5,4.5,0.3,1.3,0.12
Blount,Ilex cookii,Te,1,0.5,4.5,0.3,1.3,0.12
Blount,Ilex opaca,American holly,1.1,0.4,6.3,0.4,1,0.15
Blount,Ilex opaca,American holly,1.1,0.4,6.3,0.4,1,0.15
Blount,Ilex opaca,American holly,1.1,0.4,6.3,0.4,1,0.15
Blount,Sassafras,Sassafras,0.3,0.5,6.2,0.4,1.3,0.16
Blount,Cercis,Redbud,0.7,0.6,4.6,0.3,1.5,0.13
Blount,Cornus,Dogwood,0.3,0.4,3.1,0.2,1.1,0.09
Blount,Hamamelis virginiana,Witch hazel,0.3,0.2,8.7,0.6,0.6,0.18
Blount,Ptelea trifoliata,Common hoptree,0.8,0.9,6.4,0.4,2.4,0.2
Blount,Asimina triloba,Pawpaw,0.6,0.3,6.1,0.4,0.9,0.14
Blount,Asimina triloba,Pawpaw,0.6,0.3,6.1,0.4,0.9,0.14
Blount,Asimina triloba,Pawpaw,0.6,0.3,6.1,0.4,0.9,0.14
Blount,Ulmus americana,American elm,0.2,0.4,5.9,0.4,1.1,0.15
Blount,Quercus,Oak,7.4,1.5,7.1,0.5,3.9,0.26
Blount,Cornus,Dogwood,0.3,0.4,3.1,0.2,1.1,0.09
Blount,Cornus,Dogwood,0.3,0.4,3.1,0.2,1.1,0.09
Blount,Acer saccharum,Sugar maple,8.9,1.9,18.3,1.2,5,0.5
Blount,Prunus,Plum,1.8,1.2,6.8,0.5,3.2,0.23
Blount,Cercis,Redbud,2.1,1,6.6,0.4,2.5,0.2
